codigo,nome,unidade,frequencia,primeiro_valor,ultimo_valor,origem
3,Taxa de câmbio - Flutuante - Dólar turismo - Venda,u.m.c./US$,D,1993-05-27,1999-01-29 00:00:00,Sisbacen PTAX800
18,Taxa média pós-fixada de depósitos a prazo (CDB/RDB) - Total,% a.d.,D,1992-02-28,2018-12-07 00:00:00,Sisbacen PESP300
8,Bovespa - Volume,R$ (milhões),D,1989-12-29,2019-09-30 00:00:00,BM&FBOVESPA
16,Depósitos a prazo (CDB/RDB-pré-fixados) - Dias corridos em período de 30/35 dias,Dias,D,1989-12-29,2023-07-24 00:00:00,Sisbacen PESP300
20,Depósitos a prazo (CDB/RDB-pós-fixados) - Dias corridos em período de 120/125 dias,Dias,D,1989-12-29,2023-07-24 00:00:00,Sisbacen PESP300
4,Ouro BM&F - grama,u.m.c.,D,1989-12-29,2019-09-30 00:00:00,BM&FBOVESPA
11,Taxa de juros - Selic,% a.d.,D,1986-06-04,2023-07-25 00:00:00,BCB-Demab
14,Taxa média prefixada de depósitos a prazo (CDB/RDB) - Total,% a.d.,D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
21,Depósitos a prazo (CDB/RDB-pós-fixados) - Dias úteis em período de 120/125 dias,Dias,D,1989-12-29,2023-07-24 00:00:00,Sisbacen PESP300
5,Ouro Londres - onça troy,US$,D,1989-12-29,2019-09-30 00:00:00,LBMA
19,Saldo pós-fixado de depósitos a prazo (CDB/RDB) - Total,u.m.c. (mil),D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
15,Saldo prefixado de depósitos a prazo (CDB/RDB) - Total,u.m.c. (mil),D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
13,Unidade real de valor (URV),u.m.c.,D,1993-01-04,1994-06-30 00:00:00,Sisbacen PTAX860
23,Saldo diário de depósitos de poupança - SBPE e rural,u.m.c. (mil),D,1991-08-22,2023-07-18 00:00:00,Sisbacen PESP300
22,BTN/UFIR diária,A definir,D,1989-06-15,1998-05-29 00:00:00,Sisbacen PTAX860
24,Captação líquida diária de depósitos de poupança - SBPE e rural,u.m.c. (mil),D,1991-08-02,2023-07-18 00:00:00,Sisbacen PESP300
10,BVRJ - Volume,u.m.c. (mil),D,1989-12-29,2000-08-10 00:00:00,BVRJ
17,Depósitos a prazo (CDB/RDB-pré-fixados) - Dias úteis em período de 30/35 dias,Dias,D,1989-12-29,2023-07-24 00:00:00,Sisbacen PESP300
12,Taxa de juros - CDI,% a.d.,D,1986-03-06,2023-07-24 00:00:00,Cetip
9,BVRJ - índice,Pontos,D,1989-12-29,2003-05-08 00:00:00,BVRJ
25,Depósitos de poupança até 03.05.2012 - Rentabilidade no período,% a.m.,D,1991-02-01,2023-07-24 00:00:00,BCB-Demab
7,Bovespa - índice,Pontos,D,1989-12-29,2019-09-30 00:00:00,BM&FBOVESPA
26,Taxa média prefixada de depósitos a prazo (CDB/RDB) - Instituições financeiras,% a.d.,D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
27,Saldo prefixado de depósitos a prazo (CDB/RDB) - Instituições financeiras,u.m.c. (mil),D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
28,Taxa média prefixada de depósitos a prazo (CDB/RDB) - Investidores institucionais,% a.d.,D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
31,Saldo prefixado de depósitos a prazo (CDB/RDB) - Pessoas jurídicas,u.m.c. (mil),D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
29,Saldo prefixado de depósitos a prazo (CDB/RDB) - Investidores institucionais,u.m.c. (mil),D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
30,Taxa média prefixada de depósitos a prazo (CDB/RDB) - Pessoas jurídicas,% a.d.,D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
36,Taxa média pós-fixada de depósitos a prazo (CDB/RDB) - Investidores institucionais,% a.d.,D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
38,Taxa média pós-fixada de depósitos a prazo (CDB/RDB) - Pessoas jurídicas,% a.d.,D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
32,Taxa média prefixada de depósitos a prazo (CDB/RDB) - Pessoas fíisicas,% a.d.,D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
37,Saldo pós-fixado de depósitos a prazo (CDB/RDB) - Investidores institucionais,u.m.c. (mil),D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
35,Saldo pós-fixado de depósitos a prazo (CDB/RDB) - Instituições financeiras,u.m.c. (mil),D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
33,Saldo prefixado de depósitos a prazo (CDB/RDB) - Pessoas físicas,u.m.c. (mil),D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
41,Saldo pós-fixado de depósitos a prazo (CDB/RDB) - Pessoas físicas,u.m.c. (mil),D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
43,Fundo de aplicações financeiras - Captação líquida,u.m.c. (mil),D,1991-03-01,1995-12-29 00:00:00,Sisbacen PFAF300
44,Fundo de aplicações financeiras - Rentabilidade diária (%),% a.d.,D,1991-03-01,1995-12-29 00:00:00,Sisbacen PFAF300
45,Fundo de comodities - Patrimônio líquido,u.m.c. (mil),D,1992-12-21,1995-12-29 00:00:00,Sisbacen PESP300
46,Fundo de comodities - Captação líquida,u.m.c. (mil),D,1992-12-21,1995-12-29 00:00:00,Sisbacen PESP300
